"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","median.posterior.mu","lb.bayes.sdprior20","ub.bayes.sdprior20","width.bayes.sdprior20","cover.bayes.sdprior20","median.posterior.sig","median.posterior.gam"
"1",1,10,-0.9,66.2298329391268,77.8573073331736,1,11.6274743940468,65.1441713667141,77.2725682349174,1,12.1283968682033,72.3439679933599,67.1008119876101,77.7272148584538,10.6264028708437,1,8.55639992293256,-0.286946828247532
"2",2,10,-0.9,53.6450633639213,77.1847739948647,1,23.5397106309433,52.1436970181297,76.2618228121161,1,24.1181257939864,67.2049730513955,57.6654863121467,77.7473094179498,20.0818231058031,1,15.36919552788,-0.522821755225469
"3",3,10,-0.9,63.9496921630051,81.0268306052009,1,17.0771384421958,62.8553260264258,79.7060215277165,1,16.8506955012907,71.8850877729554,63.2078810126031,79.4363029983946,16.2284219857915,1,13.3434990326511,-0.679708905808582
"4",4,10,-0.9,67.7394901945402,77.7079790772275,1,9.96848888268727,67.2454476600811,76.9469982970108,1,9.70155063692961,71.642791538712,66.2707959321826,77.532603111318,11.2618071791354,1,9.33021758437319,-0.574664563393426
"5",5,10,-0.9,58.0020256781461,77.8211310829726,1,19.8191054048265,58.0931188786935,77.1906187689972,1,19.0974998903036,68.256021740082,54.2086640441811,78.1673715930356,23.9587075488545,1,17.9760358683161,-0.235071399489214
"6",6,10,-0.9,61.125264005083,76.1332010889215,1,15.0079370838385,60.1676196332664,75.4253930551009,1,15.2577734218345,69.287465436775,62.8054643808448,75.1053025867468,12.299838205902,1,9.7347867722768,-0.505189366404842
"7",7,10,-0.9,60.8521534343709,81.0014792375803,1,20.1493258032094,61.516106957685,80.7314571432509,1,19.2153501855659,70.9107680642468,63.2484348536869,79.5664850812715,16.3180502275846,1,12.9975137963885,0.205216849837702
"8",8,10,-0.9,59.4393438701663,81.7536388178705,1,22.3142949477042,56.7284435940555,79.5366237146208,1,22.8081801205654,72.0183620543451,63.8393165085317,79.8817745649768,16.0424580564451,1,12.6338615879232,-0.584838348480161
"9",9,10,-0.9,61.9057583091446,75.5764741799303,1,13.6707158707857,60.0991950304636,75.0501701650423,1,14.9509751345787,68.7494127785813,62.7640138919107,75.306708302113,12.5426944102023,1,10.3686810699241,-0.325008865735546
"10",10,10,-0.9,67.5106873437289,82.9153552903444,1,15.4046679466155,65.864249312378,81.7069986829624,1,15.8427493705844,74.2648662375408,67.1943615426872,81.0144614307451,13.8200998880579,1,11.5201524149583,-0.744535876862623
"11",11,10,-0.9,62.1770456272,77.1524649743873,1,14.9754193471873,59.359573878075,75.7515207378391,1,16.3919468597641,69.7955064518664,63.9920383472345,76.3658182460176,12.3737798987831,1,9.61748263813062,-0.257451456182023
"12",12,10,-0.9,60.3607551666382,71.3152143111406,1,10.9544591445023,59.1142635301458,70.905444621313,1,11.7911810911672,66.1677849641177,60.726748169862,70.4917055156133,9.76495734575129,1,7.54378417273385,-0.580298923388144
"13",13,10,-0.9,65.2291385869148,79.4750134059901,1,14.2458748190753,63.5036665193352,77.6021643211096,1,14.0984978017744,72.3543970726342,66.2679695798093,78.7361225999098,12.4681530201006,1,10.4453758294041,-0.6201420323573
"14",14,10,-0.9,63.5124926238669,78.0347731690697,1,14.5222805452027,63.3959077081454,77.9357847727961,1,14.5398770646506,70.4974837494558,58.1625818051856,84.479827119469,26.3172453142834,1,16.8558904922795,0.206160193617706
"15",15,10,-0.9,52.3395277577124,73.9936863612752,1,21.6541586035628,49.8202785590595,72.0704358770718,1,22.2501573180123,64.8900959220617,57.4201894290284,71.8415553248855,14.4213658958571,1,12.653672429475,-0.697712272528354
"16",16,10,-0.9,58.8917730297792,75.8553444662403,1,16.9635714364611,58.1318749552396,75.5632835177332,1,17.4314085624936,66.6822867666488,56.4260711147697,77.5061127724016,21.080041657632,1,13.6728937293004,-0.129714923001747
"17",17,10,-0.9,53.486482747512,73.6951651770962,1,20.2086824295843,53.933747903368,73.7391118852381,1,19.8053639818701,63.6384408290818,54.2979433637731,72.8861434913231,18.5882001275501,1,11.9550805306097,-0.0293709893480885
"18",18,10,-0.9,63.5243634084834,77.4269188447016,1,13.9025554362182,62.3187642359767,76.9328836436349,1,14.6141194076582,70.5924638157088,64.0948885298419,75.9897067789349,11.894818249093,1,10.2428668959796,-0.254449654216505
"19",19,10,-0.9,63.3270182631318,75.1088514140935,1,11.7818331509617,63.4479030557487,75.1496710626933,1,11.7017680069446,69.2651910501523,64.0529409912549,75.626224866009,11.5732838747541,1,9.73498925810336,0.105177892062829
"20",20,10,-0.9,60.9135433684647,78.2636119702962,1,17.3500686018315,55.2303326599493,75.4778115819575,1,20.2474789220082,70.5086772971336,65.0902823614072,74.86212015776,9.77183779635278,1,8.92505911534076,-0.761068014100867
"21",21,10,-0.9,60.6204558881587,81.1394477257175,1,20.5189918375588,59.1165469723944,79.5205449968174,1,20.403998024423,72.5949203546629,63.6008271140879,79.9293382675625,16.3285111534747,1,12.2644824897634,-0.547835908182062
"22",22,10,-0.9,60.8888531137215,77.2174930905815,1,16.32863997686,60.956335128291,76.6880049922616,1,15.7316698639706,68.471586447945,58.7722014614575,75.7729966539357,17.0007951924782,1,12.0446510231751,-0.44821807177601
"23",23,10,-0.9,63.4345360249609,76.9544497839817,1,13.5199137590208,62.5258745819832,76.3234658546971,1,13.7975912727139,70.4795977849438,64.497159547992,76.3580225410535,11.8608629930615,1,11.3655074632423,-0.316579936844888
"24",24,10,-0.9,58.9788260897149,79.5923811274781,1,20.6135550377631,50.3274974262783,75.8225711710522,1,25.495073744774,69.5184384568899,61.3922933768602,76.4330826167246,15.0407892398644,1,12.0527300166044,-0.671973555219013
"25",25,10,-0.9,52.9886314238438,76.63137799937,1,23.6427465755262,51.860995736776,75.2296285351457,1,23.3686327983697,67.1123713877096,57.0267892687244,75.9427158078086,18.9159265390842,1,14.4148370716903,-0.473479084404573
"26",26,10,-0.9,68.8991894090433,79.5493587847771,0,10.6501693757338,66.0722798016683,77.8792132988565,1,11.8069334971882,73.6926813274532,66.4186390090453,79.6361022575706,13.2174632485253,1,8.14961925728751,-0.704297075907307
"27",27,10,-0.9,55.0320764829385,74.4342490437125,1,19.4021725607741,55.1868823812366,73.5963031515605,1,18.4094207703239,65.7861285165646,53.5383337266441,76.3636474412776,22.8253137146336,1,16.1699705861972,0.199336348905515
"28",28,10,-0.9,57.6239308526962,75.8518877373939,1,18.2279568846977,54.4884021727958,72.584001530019,1,18.0955993572232,67.0706697920716,61.6796410641082,72.9778464321028,11.2982053679946,1,9.81700071080424,-0.777264199743268
"29",29,10,-0.9,59.3755891901176,73.5722605754337,1,14.1966713853161,59.1140015104764,72.8215055054936,1,13.7075039950172,66.5058465245315,58.868558530944,73.0800743197782,14.2115157888342,1,10.8093997502836,-0.143140763660575
"30",30,10,-0.9,69.8787195155313,79.2601095975075,0,9.38139008197626,69.9264344236525,79.5897616640239,0,9.66332724037146,74.6996142296821,70.3611832493643,79.0893240364148,8.72814078705048,0,7.39355717031748,-0.217762844619136
"31",31,10,-0.9,56.8165874946115,73.9599185334456,1,17.1433310388341,56.2170467760385,73.2155923877539,1,16.9985456117154,65.2857941835989,57.9884188607055,74.5372559234995,16.548837062794,1,12.2355543820251,-0.200536562439522
"32",32,10,-0.9,63.4983356504153,79.4479142721306,1,15.9495786217153,61.6576720773111,78.4107140670861,1,16.753041989775,71.8649019825642,65.1715973818565,78.3919299054346,13.2203325235781,1,11.1793902541259,-0.34211425672216
"33",33,10,-0.9,61.2663087631429,74.6923755790608,1,13.4260668159179,61.0849050419156,74.4628394162381,1,13.3779343743225,67.8898691504452,61.8178706942407,74.1904963113227,12.372625617082,1,10.1792341588824,0.068074821865402
"34",34,10,-0.9,57.0104559321703,79.9518374867365,1,22.9413815545662,53.8139906405248,77.3727866170195,1,23.5587959764947,68.9031933749784,59.425000120718,77.992834854938,18.5678347342199,1,17.305436994439,-0.482202104487146
"35",35,10,-0.9,56.9740064582733,70.2564505563413,1,13.282444098068,58.3286546419625,70.7490749488242,1,12.4204203068617,63.7991797069732,58.3396595325746,69.8096927442646,11.47003321169,1,8.8860416648582,0.195617241650248
"36",36,10,-0.9,62.5698545813444,75.7115943074231,1,13.1417397260788,62.0789492561604,74.7739577042808,1,12.6950084481204,69.8320347765869,63.5250684831896,75.2641133311099,11.7390448479203,1,9.24981633725551,-0.567383051085412
"37",37,10,-0.9,47.0567998417526,76.3036090905846,1,29.246809248832,42.721231321491,72.5285207693648,1,29.8072894478738,63.2474643041815,53.602260671958,73.2140449479123,19.6117842759543,1,15.6144445832015,-0.664740463032308
"38",38,10,-0.9,59.9181844436013,75.2515960676733,1,15.333411624072,60.191500875481,75.0283870281322,1,14.8368861526512,66.7240757641949,57.0593069858769,76.1823392848618,19.1230322989849,1,14.9033300300138,-0.207885932985296
"39",39,10,-0.9,59.0059737185859,80.2168350573091,1,21.2108613387232,54.572851912747,76.85189245553,1,22.279040542783,69.8672786248153,61.5384354788764,75.988995616799,14.4505601379227,1,12.1259838012905,-0.659433923772254
"40",40,10,-0.9,64.7675533990481,75.7984719028778,1,11.0309185038297,63.7582149608712,75.0278437046856,1,11.2696287438144,70.4183146101684,65.65478814191,74.7028621662866,9.04807402437662,1,7.46383838561635,-0.449401584842111
"41",41,10,-0.9,66.6248853328224,83.4886390352782,1,16.8637537024557,63.2836194122799,81.6070761068998,1,18.3234566946199,76.5811693285386,69.0115600939483,82.2601662754908,13.2486061815425,0,9.03225021841806,-0.647331710375141
"42",42,10,-0.9,68.9912107687055,81.2469075434934,0,12.2556967747879,65.8623433400504,79.6694580813345,1,13.8071147412841,74.6166968408671,65.4916430657008,80.6410052300707,15.1493621643699,1,9.40904798172587,-0.641230096600098
"43",43,10,-0.9,55.1223188834179,67.8859215523808,0,12.763602668963,54.938188493003,67.3332109850759,0,12.3950224920729,61.8434630027135,55.6594026570289,67.344319717556,11.6849170605271,0,9.61497970956721,-0.00929843726094483
"44",44,10,-0.9,57.846524438127,77.588309581882,1,19.741785143755,54.0771621073861,75.303736991033,1,21.2265748836469,68.5886056926893,62.5365082508109,74.5784839627708,12.0419757119599,1,10.5155257502834,-0.746266433696511
"45",45,10,-0.9,60.4886092915787,77.9531146209768,1,17.4645053293981,56.4841269087512,75.1944633551146,1,18.7103364463633,69.0309078226247,61.8856034762542,75.1142507855159,13.2286473092616,1,11.4363764069319,-0.646831113773235
"46",46,10,-0.9,66.8123831063317,80.2528891035858,1,13.4405059972541,65.8984601853439,78.8272032762481,1,12.9287430909042,73.4382315051809,66.4924479403931,80.8096331682726,14.3171852278795,1,10.8246069919519,-0.358030439964819
"47",47,10,-0.9,53.5217203314632,76.2779487702123,1,22.756228438749,45.5853391122919,72.3854095746346,1,26.8000704623427,65.3961053366538,59.0652778066047,73.1869982096183,14.1217204030137,1,12.8936835618007,-0.753202117995128
"48",48,10,-0.9,59.5848186661298,75.3005136207285,1,15.7156949545987,55.9236574794365,73.3323018107567,1,17.4086443313202,67.4517383879653,59.8473129770974,75.2093715485611,15.3620585714636,1,11.9203056553122,-0.470586592469325
"49",49,10,-0.9,48.5532003408169,70.7020050334875,1,22.1488046926706,45.4658195391668,68.1626905574433,1,22.6968710182765,61.8946433253424,53.3070023921493,71.2869513024824,17.979948910333,1,14.8814748013465,-0.512086816328616
"50",50,10,-0.9,59.3436088689417,76.9769941416593,1,17.6333852727176,57.6822860185376,75.0097956895572,1,17.3275096710196,69.1216953375675,61.4249275776896,77.8600785766362,16.4351509989466,1,11.3090309537307,-0.715906344269853
"51",51,10,-0.9,63.993943822263,73.5354013450947,1,9.54145752283176,62.6946974498712,72.9204786135541,1,10.2257811636829,68.9041771505806,63.967069383377,72.8531282939645,8.88605891058745,1,6.46298426117253,-0.386250138861426
"52",52,10,-0.9,65.7683923352146,77.8961704605557,1,12.1277781253411,65.7491842964074,77.2207575348494,1,11.471573238442,71.2191514197302,66.0722498252618,76.4358657567325,10.3636159314707,1,8.81261527845184,0.229063148718516
"53",53,10,-0.9,65.516381488338,77.4294018900179,1,11.9130204016799,65.3205166227743,77.1082511068704,1,11.7877344840961,70.7131242292849,66.2966234776102,75.8560744431765,9.55945096556623,1,7.40664037090947,0.464214379227195
"54",54,10,-0.9,66.7918970270301,79.7479614032236,1,12.9560643761935,64.8303202265489,78.6812991781906,1,13.8509789516417,73.0752517042675,66.7262380080977,80.0231486968513,13.2969106887536,1,9.82512248917517,-0.0780839562463899
"55",55,10,-0.9,52.2910533215596,76.5401539073885,1,24.2491005858289,43.4019920870406,71.5091792160167,1,28.1071871289761,64.3870362861635,54.9636349761173,72.9931649275147,18.0295299513975,1,15.5311112962841,-0.674886444983629
"56",56,10,-0.9,62.6521164910173,72.9200302790031,1,10.2679137879858,63.4700350764981,75.1335906722429,1,11.6635555957448,67.6956960796729,63.4127183089798,71.4461953760053,8.03347706702552,1,6.38442096096429,0.595651780585638
"57",57,10,-0.9,55.4898111239242,73.8302730441277,1,18.3404619202034,54.0925353340019,73.3257471771153,1,19.2332118431134,64.7127432823695,56.260594886448,72.9704792900137,16.7098844035658,1,13.5721199104263,-0.146928079478914
"58",58,10,-0.9,50.2246571712998,69.8205575890628,1,19.595900417763,49.7831948833029,69.3818504172813,1,19.5986555339783,60.5982411213393,52.1588128830625,67.8099600225737,15.6511471395113,0,12.136286297526,-0.070217123876579
"59",59,10,-0.9,63.0405409889035,78.8102490373977,1,15.7697080484942,58.1125444638477,75.9552580320353,1,17.8427135681876,70.7576159174212,63.2055862441277,77.8207195785561,14.6151333344284,1,11.4666629488119,-0.499530941267156
"60",60,10,-0.9,58.8689845631731,73.5612216120259,1,14.6922370488528,57.0261884158006,71.8997917217743,1,14.8736033059737,65.8962697378459,58.183027610884,75.3994049947724,17.2163773838884,1,11.7416183917535,-0.310747184348485
"61",61,10,-0.9,61.9137894744539,77.3098839142646,1,15.3960944398108,62.8056754477082,78.6941469964132,1,15.888471548705,69.7718431871536,62.7290583448081,78.2363531128703,15.5072947680622,1,11.1665490819883,0.400480281126275
"62",62,10,-0.9,66.0476736848258,79.6633256575836,1,13.6156519727578,65.141079265775,79.4777713397604,1,14.3366920739853,73.1609062490831,67.2520600712341,79.2803479295819,12.0282878583477,1,9.76491427273992,-0.0452823941651072
"63",63,10,-0.9,59.5267644735407,76.3214412558303,1,16.7946767822896,57.3913221251859,74.5619981481293,1,17.1706760229434,68.4021683243214,60.3604269088394,74.771094811164,14.4106679023247,1,10.5256220628041,-0.644594222920924
"64",64,10,-0.9,69.6142889625543,82.1535061517328,0,12.5392171891785,69.3764991945677,81.5973667593357,0,12.2208675647681,76.2335387025827,67.1432441109716,86.6655646782197,19.5223205672481,1,15.4120555137681,0.104346116770876
"65",65,10,-0.9,50.9582447379174,77.5519333296158,1,26.5936885916984,46.1653594421201,74.4349213679193,1,28.2695619257992,65.7916055845651,55.1429288577912,75.317757402727,20.1748285449358,1,15.7285273619316,-0.550341051447892
"66",66,10,-0.9,55.803707261779,74.6621642626884,1,18.8584570009095,50.29486594991,71.8887617886638,1,21.5938958387537,64.474111005861,55.453848898409,79.2707114890824,23.8168625906733,1,16.1230953667768,-0.557671844414698
