,trial,mean1,mean2,median.sampsmu1,lb.mu1,ub.mu1,width.mu1,cover.mu1,median.samps.mu2,lb.mu2,ub.mu2,width.mu2,cover.mu2,perc.correct,lb.tdist,ub.tdist,width.tdist,cover.tdist.mean1,cover.tdist.mean2,lb.bca.exp,ub.bca.exp,width.bca.exp,cover.bca.exp.mean1,cover.bca.exp.mean2
127,27,45,55,45.48145119,41.05534932,50.56130475,9.505955434,1,67.96598442,61.04788509,74.56650579,13.5186207,0,0.64,44.60865836,55.55298608,10.94432772,1,1,44.6197506,55.62793947,11.00818886,1,1
128,28,45,55,48.1813813,42.55486128,53.18488692,10.63002563,1,78.50212429,66.67912274,87.0995005,20.42037776,0,0.56,47.05261584,58.8498322,11.79721635,0,1,46.52937897,58.27743817,11.7480592,0,1
129,29,45,55,46.77763355,40.40987848,52.39091462,11.98103614,1,67.58342923,61.16828512,73.78855808,12.62027296,0,0.76,45.21221566,56.70664513,11.49442947,0,1,45.18006089,56.76446109,11.58440021,0,1
130,30,45,55,45.53508887,38.3267019,51.63931959,13.31261769,1,56.72307266,50.98407203,62.58007818,11.59600614,1,0.68,41.6084243,51.45530045,9.846876156,1,0,41.85512538,51.58623657,9.731111194,1,0
131,31,45,55,44.55703708,38.25138501,50.90017595,12.64879094,1,70.13642956,62.70891185,81.49238746,18.78347561,0,0.72,40.88052771,55.05080471,14.170277,1,1,41.15050524,54.45683362,13.30632838,1,0
132,32,45,55,45.46419747,40.8778849,50.54623378,9.668348882,1,71.79678073,57.08093483,83.19620461,26.11526978,0,0.76,42.58007671,52.78623245,10.20615574,1,0,42.97908125,53.511084,10.53200275,1,0
133,33,45,55,48.04347886,43.41055475,53.90853831,10.49798356,1,72.87124227,62.0347402,82.29783004,20.26308984,0,0.44,47.41234674,58.18037472,10.76802798,0,1,47.99559519,58.72070271,10.72510752,0,1
134,34,45,55,50.43101107,44.85570838,55.21578077,10.36007239,1,68.4010355,59.92032528,75.92437862,16.00405334,0,0.6,50.32014722,59.33861022,9.018463,0,1,50.13522323,59.12192362,8.986700388,0,1
135,35,45,55,44.40195886,37.35069218,51.73102483,14.38033264,1,70.56223991,60.81256263,82.55262533,21.7400627,0,0.8,41.92548847,55.74344193,13.81795347,1,1,41.80952146,56.74902953,14.93950807,1,1
136,36,45,55,45.28921254,39.99053763,53.19708411,13.20654648,1,71.00405741,65.64481405,76.48416653,10.83935248,0,0.68,46.18994017,58.54602869,12.35608852,0,1,46.94521656,58.74152551,11.79630895,0,1
137,37,45,55,46.11565677,41.14919311,52.38771808,11.23852498,1,69.3356807,63.48084252,74.38257114,10.90172862,0,0.6,46.53075008,58.08486912,11.55411905,0,1,46.70629034,57.73045886,11.02416852,0,1
138,38,45,55,49.37139127,43.63530523,56.82614697,13.19084174,1,75.75424407,65.42774265,85.784205,20.35646236,0,0.6,47.95162366,59.85256882,11.90094516,0,1,47.28047366,59.16068029,11.88020663,0,1
139,39,45,55,44.96841477,39.19245442,51.49374288,12.30128846,1,62.91271687,55.5706224,68.13421817,12.56359577,0,0.64,42.18472283,53.37869432,11.19397149,1,0,42.05253131,52.92432466,10.87179334,1,0
140,40,45,55,45.3826679,40.52945946,50.7956012,10.26614174,1,68.64516153,62.06814097,74.35277055,12.28462958,0,0.84,44.83447652,55.43031966,10.59584313,1,1,45.44464267,55.99511868,10.550476,1,1
141,41,45,55,46.95238194,41.29450869,51.97913673,10.68462804,1,73.70251356,64.28122019,82.60419497,18.32297478,0,0.64,46.74592889,59.38683695,12.64090806,0,1,46.36356185,59.88570486,13.52214301,0,1
142,42,45,55,48.22397424,39.88494176,55.28639929,15.40145753,1,69.65775086,64.36435326,75.9775003,11.61314703,0,0.72,49.02855508,62.13136581,13.10281073,0,1,48.57427293,61.73905059,13.16477766,0,1
143,43,45,55,48.66797197,41.84575555,54.16255098,12.31679543,1,59.60118333,54.05505972,67.4521795,13.39711977,1,0.68,45.97904157,55.49488192,9.515840347,0,1,45.31912571,54.780661,9.461535289,0,0
144,44,45,55,46.2423904,41.21029078,50.99495145,9.784660666,1,72.12038074,57.8033255,84.1172944,26.31396891,0,0.64,43.72865204,53.80776974,10.0791177,1,0,44.20222184,54.48173091,10.27950906,1,0
145,45,45,55,47.35230931,40.81946213,52.38686058,11.56739845,1,71.27328083,61.68538635,81.54299322,19.85760687,0,0.68,45.86353874,56.15715158,10.29361284,0,1,45.84419541,56.72134267,10.87714726,0,1
146,46,45,55,45.77216693,39.95515871,51.06594803,11.11078931,1,61.08728959,54.70837244,66.04717223,11.33879979,1,0.76,42.95218436,52.70155344,9.749369077,1,0,42.80956848,52.85670811,10.04713963,1,0
147,47,45,55,46.11340732,40.34477972,52.55092795,12.20614822,1,64.30505638,57.50658393,69.30523775,11.79865382,0,0.68,43.65290623,54.82772022,11.17481398,1,0,43.68715334,54.85941734,11.172264,1,0
148,48,45,55,42.79169132,37.18626541,50.32157839,13.13531298,1,74.42899231,67.93430565,80.53883552,12.60452988,0,0.88,42.22801237,56.71843184,14.49041947,1,1,42.78907592,57.13013047,14.34105455,1,1
149,49,45,55,47.2017581,41.34779022,53.65077362,12.3029834,1,60.37199164,53.16059468,67.3783102,14.21771552,1,0.68,45.23356264,54.37635195,9.142789304,0,0,45.36457455,54.21550111,8.850926561,0,0
150,50,45,55,45.20311387,37.78617615,51.48046722,13.69429107,1,71.00203458,65.40740302,77.54184244,12.13443942,0,0.56,43.80560653,58.15587342,14.35026689,1,1,44.11633088,58.01593992,13.89960904,1,1
151,51,45,55,47.54202637,40.56764645,53.9753117,13.40766526,1,63.46110554,56.93882663,69.3620482,12.42322157,0,0.52,46.34438172,56.7387595,10.39437778,0,1,45.68076004,56.39102372,10.71026368,0,1
152,52,45,55,43.97377644,38.6406908,51.06765873,12.42696793,1,65.92863626,58.85853053,75.92483386,17.06630334,0,0.76,42.09145232,52.83415814,10.74270582,1,0,42.23016736,52.61801551,10.38784815,1,0
153,53,45,55,48.74077791,43.87898629,55.28591138,11.40692508,1,68.45270974,57.71280839,81.96357996,24.25077157,0,0.56,48.80946371,58.22587472,9.416411017,0,1,49.3197066,58.61563657,9.295929969,0,1
154,54,45,55,46.80211181,41.09818081,53.44067717,12.34249636,1,62.65577158,55.00704018,69.48804257,14.4810024,1,0.72,45.09609678,54.85989843,9.763801646,0,0,44.8805724,54.74517181,9.864599407,0,0
