,trial,N.pop,skew,lb.tdist,ub.tdist,cover.tdist,width.tdist,lb.bca.exp,ub.bca.exp,cover.bca.exp,width.bca.exp,lb.bayes.sdprior5,ub.bayes.sdprior5,cover.bayes.sdprior5,width.bayes.sdprior5,lb.bayes.sdprior10,ub.bayes.sdprior10,cover.bayes.sdprior10,width.bayes.sdprior10,lb.bayes.sdprior15,ub.bayes.sdprior15,cover.bayes.sdprior15,width.bayes.sdprior15,lb.bayes.sdprior20,ub.bayes.sdprior20,cover.bayes.sdprior20,width.bayes.sdprior20,lb.bayes.sdprior25,ub.bayes.sdprior25,cover.bayes.sdprior25,width.bayes.sdprior25,lb.bayes.sdprior30,ub.bayes.sdprior30,cover.bayes.sdprior30,width.bayes.sdprior30,muprior
198,98,10,-0.5,62.91229547,73.38959384,1,10.47729837,63.37864579,73.25250735,1,9.873861562,65.90652776,72.68487003,1,6.778342271,64.46073748,73.39350021,1,8.932762734,64.60118638,73.40520588,1,8.804019501,63.78560735,73.20123123,1,9.415623879,64.24307963,73.38298355,1,9.139903921,63.58869745,72.96399564,1,9.375298192,70
199,99,10,-0.5,54.24383613,74.62099664,1,20.37716051,53.61497469,73.55531915,1,19.94034446,65.01711554,72.82536782,1,7.808252281,62.45618566,73.21992763,1,10.76374197,61.2926292,74.16088019,1,12.86825098,62.52247581,75.12816709,1,12.60569129,59.65213436,74.39841029,1,14.74627593,60.07859233,74.57534019,1,14.49674787,70
200,100,10,-0.5,70.81549931,81.3260346,0,10.51053529,70.49607464,80.35041705,0,9.854342408,66.07346762,74.60409145,1,8.530623835,65.60580242,77.16717371,1,11.56137129,64.49361588,79.15600736,1,14.66239148,63.94141873,80.16970266,1,16.22828393,65.56899312,81.32126124,1,15.75226812,64.06425719,83.52250157,1,19.45824438,70
201,1,10,0,59.48705023,73.15737573,1,13.67032549,59.89718344,73.56471467,1,13.66753123,65.34905188,72.75244863,1,7.403396749,63.93425378,72.72092026,1,8.786666483,63.30874636,72.28193122,1,8.973184859,62.76254741,73.35737042,1,10.59482301,61.60188117,72.76650863,1,11.16462747,61.5404839,72.66247279,1,11.12198889,70
202,2,10,0,62.36984392,74.50497733,1,12.13513341,63.34262295,76.269988,1,12.92736505,65.89859136,73.39872499,1,7.500133624,64.00612912,74.2136364,1,10.20750728,63.40351948,74.41086104,1,11.00734156,63.95886045,74.80222266,1,10.8433622,63.10905285,75.56175373,1,12.45270088,62.25096506,74.89420058,1,12.64323553,70
203,3,10,0,60.50084751,85.11464496,1,24.61379745,59.18442232,83.14064615,1,23.95622383,66.50261976,74.31342109,1,7.810801325,65.42686672,76.56540054,1,11.13853382,65.49359244,77.17558715,1,11.68199471,64.74342332,78.87177733,1,14.12835401,66.00857116,78.33359866,1,12.32502751,64.57371438,79.56316363,1,14.98944925,70
204,4,10,0,59.620051,76.32054525,1,16.70049425,59.61685311,75.44218007,1,15.82532696,66.1272432,73.05776174,1,6.930518544,64.53742003,73.46519369,1,8.927773657,64.67555537,73.97698831,1,9.301432942,63.43677539,75.23602139,1,11.799246,63.43113667,75.39370703,1,11.96257036,62.58002729,74.87706031,1,12.29703302,70
205,5,10,0,55.77717391,78.92718328,1,23.15000937,53.43096712,77.98979928,1,24.55883216,65.70917325,73.7981872,1,8.089013955,63.85645117,74.82392329,1,10.96747213,63.52301889,76.22965736,1,12.70663848,61.86181068,76.00818495,1,14.14637427,62.72416172,76.31092394,1,13.58676222,61.29542262,77.75255814,1,16.45713552,70
206,6,10,0,61.35595522,75.7921306,1,14.43617538,63.57585166,80.75514772,1,17.17929607,65.83529525,72.76612123,1,6.930825973,65.40095898,72.82541864,1,7.424459664,65.05698074,73.051865,1,7.994884257,64.1122458,73.74676666,1,9.634520864,63.62194708,74.37546918,1,10.75352209,64.0490429,73.73544438,1,9.686401482,70
207,7,10,0,55.14934558,75.9837953,1,20.83444973,51.49504774,74.38487851,1,22.88983077,65.3378566,73.70164638,1,8.363789774,63.47125938,73.73151308,1,10.2602537,62.98189608,75.05933675,1,12.07744067,61.11299501,75.32938941,1,14.21639439,60.93627341,76.31765279,1,15.38137938,60.04692107,77.1610132,1,17.11409213,70
