"","trial","mean1","mean2","median.sampsmu1","lb.mu1","ub.mu1","width.mu1","cover.mu1","median.samps.mu2","lb.mu2","ub.mu2","width.mu2","cover.mu2","perc.correct","lb.tdist","ub.tdist","width.tdist","cover.tdist.mean1","cover.tdist.mean2","lb.bca.exp","ub.bca.exp","width.bca.exp","cover.bca.exp.mean1","cover.bca.exp.mean2"
"1",1,45,55,47.2067691147597,42.019269469976,52.2640751954571,10.2448057254812,1,71.3318985512213,63.5058668902245,79.2800311650378,15.7741642748133,0,0.68,47.0203289105129,59.0749099023246,12.0545809918117,0,1,47.0012900820873,59.1897787195977,12.1884886375104,0,1
"2",2,45,55,46.3115050534287,41.7896239385643,50.4627711554024,8.67314721683814,1,73.0183066697658,59.6816590992138,83.5740457204244,23.8923866212105,0,0.68,41.7913278792866,51.9216832885312,10.1303554092447,1,0,42.227233548248,51.9509892352186,9.72375568697056,1,0
"3",3,45,55,44.7639209685889,40.0899947797704,49.9636836944828,9.87368891471246,1,73.983956130497,64.5942066562782,83.7319289924803,19.1377223362021,0,0.6,43.5061228477755,56.9167266194217,13.4106037716463,1,1,43.4239001648807,56.9665643327786,13.5426641678979,1,1
"4",4,45,55,48.1046960318801,41.3706507097338,52.4828519872324,11.1122012774985,1,67.7057398093504,59.3032906643326,77.0134181737651,17.7101275094325,0,0.76,47.0968940319141,58.1396679578928,11.0427739259787,0,1,47.1049323928346,58.3333523625608,11.2284199697261,0,1
"5",5,45,55,45.7357185112744,40.7136312850615,50.1795109243959,9.46587963933447,1,72.9644491060195,60.9938997401825,83.2247807007307,22.2308809605483,0,0.64,43.624566859567,55.9380813725531,12.3135145129861,1,1,43.6673529522708,55.9802833729246,12.3129304206537,1,1
"6",6,45,55,48.5193727517182,42.9396412654441,53.4085762803714,10.4689350149273,1,67.2941673392603,56.9438317946618,80.1641853546653,23.2203535600036,0,0.48,45.8925573391428,55.5803227149998,9.687765375857,0,1,46.5404826798256,55.9397131589364,9.39923047911077,0,1
"7",7,45,55,47.89458771273,41.3954165519028,52.994029280496,11.5986127285933,1,66.9320016743291,57.1369126827839,75.5966370633341,18.4597243805502,0,0.84,46.999069903215,57.1024688493229,10.1033989461079,0,1,46.9527217186284,57.2905199185955,10.3377981999672,0,1
"8",8,45,55,46.591208214062,41.834927207279,51.2197770948374,9.38484988755835,1,74.534629184685,63.9793998246872,83.1440364438007,19.1646366191135,0,0.56,43.6572134759368,55.2354246242994,11.5782111483627,1,1,43.7659952073422,56.0412526037355,12.2752573963933,1,1
"9",9,45,55,43.5476327506045,38.3970890534514,48.2693024460607,9.87221339260934,1,74.1145791353367,64.3449511904351,82.9161654971179,18.5712143066828,0,0.72,39.181775686761,50.6611087122505,11.4793330254895,1,0,39.9403369720551,51.6929228245851,11.75258585253,1,0
"10",10,45,55,41.7908583219812,37.2118478015418,46.2527180352441,9.04087023370225,1,75.8676991897161,68.5748099213823,84.1559445036349,15.5811345822526,0,0.64,40.7001964044106,56.5179384598576,15.817742055447,1,1,41.4371301884445,57.4430379903535,16.0059078019089,1,1
"11",11,45,55,48.0808923123265,43.1342858156857,53.4644326605366,10.3301468448509,1,70.4657014466124,62.3806953365212,81.7975060067478,19.4168106702266,0,0.6,46.6659581808609,56.554900360286,9.88894217942509,0,1,46.470685374137,56.9089326879,10.438247313763,0,1
"12",12,45,55,45.6909601569038,40.4549608738538,50.4837686184022,10.0288077445484,1,70.6022487215263,62.4512564848087,80.8897938079717,18.438537323163,0,0.52,44.7744640027386,57.032729513998,12.2582655112593,1,1,44.4011361698304,56.7675247672061,12.3663885973757,1,1
"13",13,45,55,45.9071712740957,40.9207229674842,50.7779535585602,9.85723059107602,1,76.5623738887482,68.6250325215884,84.1072484335234,15.482215911935,0,0.72,44.339725435021,58.2198492283803,13.8801237933593,1,1,44.8471929205817,58.9779561566343,14.1307632360526,1,1
"14",14,45,55,46.107909104736,41.1928999762252,50.3676915882625,9.17479161203728,1,67.1881502700661,57.7803790097063,79.7406500235012,21.9602710137949,0,0.56,43.2207570410173,53.1607149098397,9.93995786882246,1,0,43.5611742635294,53.5644183160068,10.0032440524774,1,0
"15",15,45,55,50.3376078761195,45.2972294922819,54.6060780724987,9.30884858021677,0,69.3274554557491,60.1978038482356,81.662076402148,21.4642725539124,0,0.56,47.6629493435828,56.27650182957,8.61355248598723,0,1,47.9390984474132,56.7797612991525,8.84066285173935,0,1
"16",16,45,55,50.8983356804659,45.3870007458982,56.0657824235786,10.6787816776805,0,69.2244306432914,60.1951162065659,78.7908946570018,18.5957784504359,0,0.6,49.536854526376,58.6156787227555,9.07882419637943,0,1,49.4540122753414,58.5152021797016,9.06118990436021,0,1
"17",17,45,55,44.2528868309093,39.739178538754,48.5408511554027,8.80167261664869,1,74.2848656012683,64.2705693527742,84.2081684903425,19.9375991375683,0,0.6,39.4249914294252,50.0416923121048,10.6167008826796,1,0,39.9480003799428,50.5219061718692,10.5739057919264,1,0
"18",18,45,55,45.8406893144926,40.2011241482539,51.0424069948792,10.8412828466253,1,66.4878386045128,55.7000957348775,79.895977785647,24.1958820507696,0,0.72,43.5284105118775,54.0410179174896,10.512607405612,1,0,43.1318422206128,53.8150918268349,10.6832496062221,1,0
"19",19,45,55,47.4187234336802,41.6474317507739,53.5898744716573,11.9424427208833,1,67.673868424627,57.4849179788518,75.6890763754453,18.2041583965935,0,0.72,46.8220922916417,57.4675912218628,10.6454989302211,0,1,46.8296301006321,57.0837708216174,10.2541407209854,0,1
"20",20,45,55,42.2933336072738,37.0499981745111,47.3220183349171,10.272020160406,1,69.1752368365252,61.7244809253078,77.2394333619266,15.5149524366188,0,0.84,43.0163078742113,56.7361760022033,13.719868127992,1,1,43.2610179101994,56.3540372872726,13.0930193770732,1,1
"21",21,45,55,42.6622903998241,37.3491145005624,47.7871053786045,10.4379908780421,1,68.8854512355881,61.7115537000387,76.4074300254941,14.6958763254554,0,0.6,44.1455105910087,57.7377674290265,13.5922568380178,1,1,43.0898590593221,57.6023348083139,14.5124757489918,1,1
"22",22,45,55,46.2882270094833,40.8891037725847,50.8486948226237,9.95959105003894,1,69.9098411840508,62.238681435361,78.6631026568854,16.4244212215244,0,0.6,44.7272100237655,56.2315976480296,11.5043876242642,1,1,44.9242586596645,56.4310081345904,11.5067494749259,1,1
