"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior5","ub.bayes.sdprior5","cover.bayes.sdprior5","width.bayes.sdprior5","lb.bayes.sdprior10","ub.bayes.sdprior10","cover.bayes.sdprior10","width.bayes.sdprior10","lb.bayes.sdprior15","ub.bayes.sdprior15","cover.bayes.sdprior15","width.bayes.sdprior15","lb.bayes.sdprior20","ub.bayes.sdprior20","cover.bayes.sdprior20","width.bayes.sdprior20","lb.bayes.sdprior25","ub.bayes.sdprior25","cover.bayes.sdprior25","width.bayes.sdprior25","lb.bayes.sdprior30","ub.bayes.sdprior30","cover.bayes.sdprior30","width.bayes.sdprior30","NA"
"147",47,10,-0.5,51.8996641681842,69.2714786905548,1,17.3718145223706,50.7378389764307,68.8626721585752,1,18.1248331821445,60.5081248331527,61.7557880038956,0,1.24766317074281,60.5184858628262,62.6884762355192,0,2.169990372693,60.518921941109,63.5638339082789,0,3.04491196716994,60.5244036646212,63.3867776681222,0,2.86237400350102,60.5367238032848,63.8128505023172,0,3.2761266990324,60.5250006761632,64.1747354896621,0,3.64973481349892,50
"148",48,10,-0.5,57.4645008259158,80.1452516768716,1,22.6807508509558,56.8034905244353,78.8803682340875,1,22.0768777096522,68.0682615062452,68.8622490295813,0,0.793987523336114,68.08122610923,69.5402011146889,0,1.45897500545892,68.0846303452998,70.0201544985513,0,1.93552415325154,68.0843726636443,70.5582705082316,0,2.47389784458728,68.0981153205116,70.8366970329087,0,2.73858171239718,68.0957216567366,71.1887028057586,0,3.09298114902195,50
"149",49,10,-0.5,50.5590546130053,69.4269039929798,1,18.8678493799745,50.2186624003214,68.3104064552588,1,18.0917440549374,48.7889787638466,56.2594586943112,0,7.4704799304646,48.4807260323015,58.3203027163264,0,9.83957668402493,49.3660040741307,60.3556080422483,0,10.9896039681176,49.6826592816725,61.5404368718352,0,11.8577775901627,50.45574404543,62.2530227976765,0,11.7972787522465,49.9689166209151,62.2911653698461,0,12.322248748931,50
"150",50,10,-0.5,61.6267366035887,76.7696024245582,1,15.1428658209695,60.2824767801015,76.0805918866585,1,15.7981151065569,69.2574646529406,69.9403682372077,0,0.682903584267066,69.2556593208018,70.663664487066,0,1.40800516626416,69.2642045951095,70.9573835241404,0,1.69317892903084,69.2638685933372,71.9937582784116,0,2.72988968507437,69.2695931229221,71.6780202388236,0,2.40842711590147,69.2654640782509,71.7167495512825,0,2.4512854730316,50
"151",51,10,-0.5,54.0193818141167,72.4918749400373,1,18.4724931259206,53.9369806143553,72.3092119951835,1,18.3722313808282,63.561993437481,64.6725498735354,0,1.11055643605437,63.5718189319015,65.3684365798707,0,1.79661764796913,63.5785743242401,66.0427624675749,0,2.46418814333485,63.5921203296682,66.5769481462138,0,2.98482781654558,63.5845821437852,66.5708098070442,0,2.98622766325894,63.5806023807667,66.9972684079254,0,3.41666602715873,50
"152",52,10,-0.5,58.4969538169942,79.4776390680552,1,20.980685251061,59.6344703483013,81.9567585713095,1,22.3222882230082,48.3343169426731,57.1901698919977,0,8.85585294932465,49.5062418143266,60.6883760919362,0,11.1821342776096,50.2087556503473,63.6206408469783,0,13.411885196631,49.9673818808251,65.6768203513302,0,15.7094384705051,50.6366969466864,67.8496145989398,0,17.2129176522535,53.8698462620043,71.1213185781746,1,17.2514723161703,50
"153",53,10,-0.5,59.7414612147507,83.4205019646941,1,23.6790407499434,53.4114231913448,80.1845727121586,1,26.7731495208139,70.5313558695598,71.2846399201193,0,0.753284050559472,70.5356303644908,71.6933037571428,0,1.15767339265203,70.5403154691831,72.3761995255372,0,1.83588405635417,70.5390761200061,72.9641237391251,0,2.42504761911907,70.539452247892,73.1341425735583,0,2.59469032566629,70.5486020874054,73.2293688219072,0,2.68076673450176,50
"154",54,10,-0.5,63.3584100740142,77.8293679484657,1,14.4709578744515,63.8074253981466,78.7157461952987,1,14.9083207971521,71.7667129704964,72.4008329770254,0,0.63412000652896,71.7707600244238,72.8987867296762,0,1.12802670525232,71.775160397894,73.2646477005948,0,1.48948730270082,71.7769753708254,74.0118791625921,0,2.2349037917667,71.786423779896,73.9268888612788,0,2.14046508138283,71.7981595399156,74.1392234312226,0,2.34106389130704,50
"155",55,10,-0.5,46.774802383664,74.6804136370586,1,27.9056112533946,42.4390479124008,71.5270076983196,1,29.0879597859188,58.6857481926822,60.2710331409376,0,1.58528494825543,58.6998335709376,61.6125621539391,0,2.91272858300152,58.6989356794535,62.3118748489895,0,3.61293916953605,58.7069373754868,62.7789697791018,0,4.07203240361505,58.7196110568236,63.7974305622878,0,5.07781950546417,58.704119461207,64.2347885577388,0,5.53066909653182,50
"156",56,10,-0.5,63.6865586548752,73.5261708749666,1,9.83961222009142,62.9725306291082,72.7954658723402,1,9.822935243232,68.5560510846846,69.201072303457,0,0.645021218772428,68.5575434626568,69.6755823037253,0,1.11803884106845,68.56409125315,70.0563542921937,0,1.49226303904369,68.5669077781527,70.235556893209,0,1.66864911505627,68.5673431348763,70.6120289449322,0,2.0446858100559,68.5797159477854,70.9657094109755,0,2.38599346319006,50
"157",57,10,-0.5,64.8848953263698,79.0794240403585,1,14.1945287139887,65.5126443139399,80.292194010999,1,14.7795496970591,74.1706482512269,74.7129404740913,0,0.542292222864432,74.1818573383114,75.1479012043778,0,0.9660438660664,74.1905564147574,75.5065806082379,0,1.31602419348054,74.1804764410817,75.9008209570303,0,1.72034451594858,74.1879445196065,76.0813709462991,0,1.89342642669253,74.1973669899963,76.3020087049675,0,2.10464171497125,50
"158",58,10,-0.5,62.0737856431127,77.4618202809388,1,15.3880346378261,60.4227165454828,76.0304923847064,1,15.6077758392236,70.9450783695498,71.5353387702785,0,0.590260400728667,70.9507355121456,72.15950346842,0,1.20876795627434,70.9527057850497,72.5640747446051,0,1.61136895955538,70.9587454297375,72.956292501985,0,1.9975470722475,70.959357583068,73.1551591036077,0,2.19580152053975,70.968667067582,73.850423156405,0,2.88175608882304,50
